Title,rating-other-user-rating,text,review-date
A True Warrior Never Quits,7,"In China, the big, fat and clumsy Panda Po is a great fan of martial arts and worships The Furious Five - Tigress, Crane, Mantis, Viper and Monkey – and their Master Shifu. He works in the restaurant of his father specialized in noodles, but he dreams on being a kung fu hero. When Master Oogway summons the population to announce who would be The Dragon Warrior, he surprisingly points out to the slacker Po, frustrating the expectations of Master Shifu and Tigress. Po joins the academy of Master Shifu that does not believe that Po might be The Dragon Warrior. Meanwhile the evil Tai Lung breaks out the high-security prison where he has been arrested for twenty years and heads to the temple of Oogway, expecting to get the Dragon Scroll and becomes more powerful. The Furious Five tries to intercept Tai Lung, but they are defeated. Now the only chance to stop Tai Lung is the glutton Po.""Kung Fu Panda"" is a very funny and entertaining animation, with the delightful story of a clumsy Panda that dreams on being a hero. The computer-animated heroes and villain are hilarious, supported by the voices of Jack Black, Dustin Hoffman, Angeline Jolie and other magnificent actors and actresses. Po is tailored for Jack Black and I can not imagine this character without his voice. Dustin Hoffman also makes the difference with the voice of the wise Master Shifu. I just regret that I did not pay much attention to this animation before and only now I have watched it. My vote is seven.Title (Brazil): ""Kung Fu Panda""",18 March 2011
Recommendation from a Chinese,10,"First I need to make it clear that since I was born and grew up in China, this review might be biased because there is so much more I appreciate from the movie, given my cultural background.There is a specific category in the Chinese literature history called Kung Fu fictions and it had spread among generations currently between 12 - 60 years old. Have to admit, this movie touched deeply on that, far more than any Jackie Chan or Jet Lee movies. Because it is animated, it leaves more rooms for imaginations.I am very satisfied with the movie, though I watched it with my American-born kids. It is still a typical Hollywood production, but somehow, it touched my Chinese heart.It is a simple story, yet deep. See it if you haven't already.",18 June 2008
The Best Animated Feature in the Past 2 Years !!!,10,"I LOVED this movie!!!! I even daresay that this is the best animated motion picture I have seen since ""Cars"" two years ago. Although the whole story of an underdog turned champion is admittedly an oft-told retread, the treatment is original and amazing and very engaging, and not corny (unlike a lot of the recent animated films). I cannot stop singing praises to this one. The artwork of the whole movie is fantastically rendered, no exquisite detail was spared in the scenery, the architecture and of course, the lead animal characters.The action and fight scenes are very well done and memorable. I enjoyed watching the fight scene between Po and Shifu for the last dumpling, the fight of the Five vs. Tai Lung at the Bridge, and the climactic fight scene of Tai Lung with Shifu, and then with Po. Very exciting. My daughter even spontaneously applauded after that last fight sequence.There were also a number of beautifully-crafted emotional moments throughout. I loved the inspirational talk of Master Oogwei and Po (loved those words of wisdom), the talk of Master Oogwei and Shifu with the peach blossom petals, and of course the touching moment of Po and Shifu after the battle, and even in that small extra scene after the credits.The voice acting was also very good. Jack Black as Po, so natural the comedian, wow. Dustin Hoffman as Shifu, really great. I did not expect it to be him. If was fun to discover after the movie that is was Angelina Jolie who voiced the Tigress, Lucy Liu, the Viper, and Jackie Chan, the Monkey, among others. And even more minor characters like the menacing head of prison security rhino Commander Vachir voiced by Michael Clarke Duncan, all very good.Overall, a fantastic movie experience that I would not mind watching over and over. There is something for everyone -- action, drama, and comedy. It is an animated classic in my book. Very highly recommended indeed!",8 June 2008
Wow.... Dreamworks' finest.,10,"When I watched the trailers to kung fu panda, I scoffed and sneered at the stupidity of a rude panda barging in and demanding to learn kung fu. If someone had asked me to go to that movie, I would have laughed in their faces, but gone anyway for the popcorn. As I watched the preview, I thought ""Well there's a waste of time and money, There's something I would never like."" ...Boy was I wrong. Kung fu panda has splashes of children and adult humor, done by the perfect Jack black, who fit so well with Po, the roly poly, cuddly panda. The scenery was breathtaking, and most of the time I forgot that the majestic shimmering water and lovely smooth trees were fake! The Thins that most surprised me was all the heart put into it. On the previews they are targeting mostly youths and younger audiences with their humor, but really the thing that I found sweetest of all was all the heart. The moral was so touching and sweet, that I could have never expected Dreamworks to pull it off, after their recent garbage like ""Over the Hedge"" ""Shark Tale"" and others.The scenery was beautiful, and the animation was outstanding! The characters fit so well with their voices, especially my all time favorite character Master Shifu voiced by Dustin Hoffman. True, Jackie Chan and the furious five didn't have too many lines, but this does not stop the upbeat trhill and flow of the movie. I am Definitely buying this movie the second it comes out on DVD, and have seen it 7 times in the theater. The battle scenes are superb, and my entire family is getting sick of me talking about them. The storyline is very original, and bright, but within all the humor there is a heart, and other emotions,such as sadness. One of my favorite scenes is the one in which the Brave Master Shifu battles with his former pupil, the vicious (and I mean vicious) Tai Lung.All the characters add their own little sparkle to the story, like sweetness being added to a cake. I really can't express my utter love for kung fu panda-It would be like trying to type out love, or music- it just can't be done. Sincerely, Piggypony",30 June 2008
Not only Good but also Makes me think.,9,"Kungfu Panda is marketed mainly as a children's movie with very childish style of cartoon-making and Jack Black. But it turned out to be eccentric and wonderful, a good story to bring your family to. If the box office becomes a flop(which is already impossible), it should be attributed to the marketing only.As the tag line says, ""Prepare for awesomeness."" Even after so many positive comments, I still have no idea what the movie will come out like. One reason I couldn't figure out what the movie will be about is the super-simple title. Will it be just another Forbidden Kingdom? Or another Mulan? Or will it even turns out to be another Bulletproof Monk, which is among the disgraces to the Chinese culture? Sorry about this but I've seen too many movies portraying Chinese culture too superficial, which assumes Chinese philosophy established on either Buddhism(usually fake Buddhism) or some ridiculous superstition. So first of all, I am glad to say Kung fu Panda is the first Hollywood-made Chinese movie ever to make me feel proud for my ancestors' culture. If I haven't guessed it wrong, the writers really took some time digesting Chinese philosophies like the relationship between ""Beings"" and ""none-beings"", and other basic Chinese ideas about life and faith. No matter how old you are, the movie will make think for some time. It discussed some deep topics about human desire, confidence and destiny. After seeing it, I sincerely think that human desire can be used for good, for our bodies are like super-advanced machines and if you manage it in the right way, it won't be harder than controlling machines. Ancient Chinese assimilated so many nutrition from nature that they have a vision to achieve a balance between everything, that is also a reminding to me as a Chinese, which makes me proud.The visual style of the movie completely beat my expectations. Everything is animated in a Chinese paper art style and the color red is so widely used as the main theme color. It touched me deeply because it reminded me of the glorious days of Chinese cartoons. It's like a combination of Matrix and traditional kung fu movies.For many obvious reasons, it has the potential to win the Oscar. I am looking forward to some better cartoons this year. But at the same time I want Kongfu Panda to be the best animated feature of the year.9/10 Almost excellent.",16 June 2008
Kung Fu + Computer graphics = a winner!,8,"When you watch Kung Fu Panda you can't help but wonder: why wasn't this done before? Kung fu and CGI make a terrific mix in this entertaining tale of a clumsy fat panda who becomes a true kung fu master. The story in short: panda bear Po (voiced by Jack Black) is a big kung fu fan. He has all the action figures of his idols, Master Tigress, Viper, Tigress, Monkey and Mantis - also known as the Furious Five, and dreams of one day becoming a kung fu master himself. In the meantime he sells noodles. When evil leopard Tai Lung (Ian McShane) escapes from prison a Dragonwarrior is chosen to defeat him. Yes, our reluctant hero Po turns out to be the one! He gets a kung fu training from Master Shifu (Dustin Hoffman), who - after a few disastrous attempts - discovers that the only way to teach Po real kung fu is to lure him with food. But will Po be strong enough to beat Tai Lung?Kung Fu Panda doesn't start with a bang. The first laughs are results from the slapstick humour. Po is a lovable creature and everyone can relate to a person who dreams of the impossible. When Tai Lung escapes you're really into the story. This particular scene is pretty spectacular. It takes place in a dark cave and the way Tai Lung jumps around really gives you the impression that he's an enemy to be reckoned with.What also works in the movie is the chemistry between Po (Jack Black) and Master Shifu (Dustin Hoffman). The latter easily steals the show as the grumpy kung fu master who doesn't believe in his mission to guide Po. The scene in which Shifu has a food fight with Po is an instant classic. There's also a great action scene in which Tigress, Mantis and the others try to stop evil Tai Lung. They fail, of course... And the down side? There aren't that many bad things in Kung Fu Panda. Hoffman and Black make the movie. The role of Tigress (Angelina Jolie) could have been done by many other voice actresses. Jackie Chan (Viper) only has three or four lines and that's a shame. The final fight is - at some moments - rather violent. That can scare away some of the younger (3-6 year old) kids. Dreamworks wants to turn Kung Fu Panda into a Shrek like franchise. They're right. There's enough material in here to make at least two more sequels. And CGI animated kung fu kicks really work on the big screen! So let them make a Kung Fu Panda 2. As long as they keep Dustin Hoffman as Master Shifu in the story!8/10",22 May 2008
One of the five best CGI animated films ever!,8,"After the disappointing SHREK 3 and the only ""cute"" OVER THE HEDGE, DreamWorks Animation finally delivers another highlight to the CGI animated universe.I got used to the rather simple story of MADAGASCAR after watching it again, I really liked SHREK and even more SHREK 2 (am I the only one?). I never liked the cultural references they built in, because I think they only work in their time (but in their time they worked great!). So for me KUNG FU PANDA is the first great ""classic"" DWA film. Go see it, it also works for adults. If you have seen some of the classic martial arts film (Jackie Chan, Bruce Lee etc) you will even more enjoy it. The voice talent of Jack Black, Dustin Hoffman and Ian McShane is perfectly used. The other voices are OK.It will be a big hit for DWA, north of 200 millions domestic, eventually even 300 mil.That said, my favorite CGI's are 1. THE INCREDIBLES, 2. RATATOUILLE and 3. FINDING NEMO and closely followed by KUNG FU PANDA. Looking forward to seeing KFP an second time and then maybe it will become my new Nr. 3.",27 May 2008
Awesome....Awesome!!!!!,10,"What a fabulous movie...great output from Dreamworks...This is the film, can be watched by all section of audience...very entertaining...The artists selection was too good....Jack Black the real show stealer...I don't think there was any expectations about this movie before release, but if you go with high expectations, definitely it reaches beyond.The story as follows, Po(Jack Black),a panda who helps his father make and serve noodle soup. One day,an ancient tortoise named Oogway believes that Po is the Dragon Warrior. Po can't believe it, and neither does Master Shifu(Dustin Hoffman). When Master Shifu learns that a certain evil villain named Tai Lung escapes from prison, trains Po to defeat Tai Lung.Don't miss this movie at any cost. Kudos to the makers. 2nd part is on the way, hope that will be a stunner than this part.",3 June 2011
Best after the Nemo.,9,"Saw this movie today. It was both entertaining and imbibing good values. For kids a definite watch. For adults too.The story is a well known moral story of don't judge by the appearance. It is about a Chinese town in the valley where a kung-fu rule is about to be seized by a evil spirited tiger who wants to become The Dragon Warrior, the great. And a Panda comes in his way to achieve it.The script is very good. Dream works artwork team has proved one more time. It was very funny from the beginning to the end. And some philosophical moments too. The music and colors used in the movie reminds Chinese in every aspect and mainly kung-fu. It no way is lesser than ordinary kung-fu film. Kung-fu fight scenes drawn with such a clarity. Colors used are mostly red and yellow. Some flash back and magical related scenes have been drawn to bluish grey. The effects came out were extremely good. My credit goes to directors who could imagine the whole thing in their minds to make this film.Animation films have been reaching new dimensions. Though this one did not create any new dimension but will be still one among the classics. Liked a few 'Zen'nish philosophical lines of the Master Turtle character such as 'there are no accidents'.. ""i am the big Panda'..'past is history... future is mystery... and present is the only gift you have that is why they call it as 'present'...they have most profound meanings which the film could casually spill it on its way.Ver good movie. A must watch.",28 June 2008
Finally a Film About China the Chinese Love,10,"There have been many films about China that the Chinese themselves didn't like. They didn't like Disney's ""Mulan"", they didn't like ""Crouching Tiger, Hidden Dragon"". This list goes on. Westerners have westernized the stories or included elements culturally offensive or unintelligible, and humour that, in the Orient, just isn't funny. Well, all that has changed. Last night I went to see Kung Fu Panda in Shanghai (in English with Chinese subtitles). Shangahai is the biggest city in China. The cinema was packed. And from start to finish there was non-stop laughter, excitement, and joy. The humour was universally funny, the culture was dead-on, and the story hit home with the Chinese. They could relate to the characters and their situations. They laughed. They laughed until they cried. Visually, the movie was just beautiful to look at. As an adult, I usually don't enjoy watching cartoons. But this one was more fun I've had at the movies in a long time. The timing of the film's release with the 2008 Olympic Games in Beijing coming up is perfect. A job well done to all involved with the making of this little gem!",25 June 2008
Awesome movie! I've seen this in cinema for twice!,10,"I can't exactly describe my feelings when I first saw this movie yesterday. It's awesome. The dreamworks has done really a good job in expressing Chinese cultural elements! It made me and my friends and all the audience laughed from the beginning to the end. When the movie came to its end, 90% of the audience didn't leave the room as usual. They stayed until the HP picture came out! Every scene is so precious and lovely that everyone didn't want to miss it! As a Chinese citizen, my feelings are complicated when I saw that the culture are so nicely expressed on screen by some foreign movie makers, but it's good, isn't it? Chinese movie makers should learn a lot from Hollywood.I think Kung Fu Panda perfectly gets together several important Chinese cultural elements: traditional Chinese Kung Fu Tactics, traditional Chinese fighting story, traditional Chinese jokes, traditional Chinese scenes, traditional Chinese music, even traditional Chinese legends! I also like the song after the movie.Thank you, Dreamworks!! I'm seriously considering to go to see it for the third time!",21 June 2008
A Nutshell Review: Kung Fu Panda,10,"It seems like this is a movie made for all the fanboys out there,  regardless of what their obsessions are about. You know, being one who  idolizes certain somebodies or some things, and given a day that Fate  decides to throw you a curveball and give you that one opportunity to  come up close and personal to meet and greet your idol in the flesh, or  be thrown into the exact situation that you've always been dreaming  about. What would you do, and would you go weak in the knees or be  overcome with disbelief that you're actually, finally, realizing your  dream?  Panda Po (voiced by comedian Jack Black) epitomizes exactly that in  Kung Fu Panda, and that struck a chord in me and with many in the  audience as well. And for that, no matter how cliché the story would  become, it had already done its deal and made the connection. It is no  wonder it is rated G here, and I expect that the holiday season would  allow cash registers to ring, for animation fans with the different  styles utilized to tell the story (you must be on time and not miss the  opening sequence), for kung fu fans to get a kick out of classic kung  fu moves personified in their animal forms - Tigress (Angelina Jolie),  Crane (David Cross), Mantis (Seth Rogen), Viper (Lucy Liu) and Monkey  (Jackie Chan) - collectively known as the Fearsome/Fab Five, and for  the kids, given the obvious reason that hey, the protagonist is a  cuddly bear. The marketing department, if not already done, should  stock up on the plush toys, not only of the hero, but the supporting  casts as well. And make their younger forms available too, for they  will sell.  Story-wise, I can't help but to note its tip of its hat towards the  Jackie Chan martial arts movie of the past like Snake in Eagle's  Shadow, Eagle Shadow Fist, etc. The formula which follows a misfit with  weak or zero martial arts background having to undergo harsh training  under a kung fu master, finally realizing his true calling in time to  defeat the villain everybody fears. With the Jackie Chan movies, the  demise of loved one always trigger off a chain reaction, but since this  is G-rated, you won't have the pleasure of having blood spilled, but  with so many splatter-type movies in recent times, I have to admit this  was refreshing, and even having animated animals that talked, didn't  irk me as they are just so lovable here, in their own right.  It's an excellent and very even mix of comedy and drama, even though  they are quite cliché at times if you grew up with the formula, but I  thought that was the point. While the trailers might have given away  some stuff, there are still lots more available which are hidden up the  sleeves, and some minor word replacement such as ""suck"" to ""stink"",  though you would likely be able to stay a step ahead throughout and  even guess whatever secrets the movie have, actually are. For its  stylistic training sequences, they became a throwback and a link to the  fore-mentioned Jackie Chan movies. The fight choreography isn't done  shoddily too with its designing of fights true to the characters'  forms, and integrating them all in a manner rarely seen before. Since  it's an animated flick, it was able to, and probably ramped up  whatever's possible in the kung fu fantasy realm, to give us everything  from rooftop flights to an incredible prison break. It didn't waste any  effort in tapping from the wealth of kung fu material, what with the  various names of deadly moves, secret manuals,  teacher-student feuds, and the best part of it all? Humour being quite  unexpectedly well placed, with more hits than misses to break out into  a hearty laugh by the panda antics.  For all its A-list voice actors in the movie, with the likes of Michael  Clarke Duncan, Dan Fogler, Ian McShane and those who provide voices to  the 5 key animals, Kung Fu Panda is clearly a Jack Black and Dustin  Hoffman vehicle. The bantering between the two is priceless as the  latter plays Sifu (duh) the master teacher, a highly-strung and serious  character who has a past they are shameful about (don't they all). And  as his own teacher Oogway (read: Wu Gui, aka tortoise, voiced by  Randall Duk Kim) advises, herein lies an opportunity for Sifu to  rediscover himself when training possibly the next-big-thing (pardon  the pun) Po, whom he foretold as the mythical Dragon Warrior. So begins  the forging of friendship, long lasting bonds and trust between the  two, even though they got off the wrong footing. And you can probably  feel for Po, because for a fanboy type, having your idols scoff at you  at first opportunity, is actually quite painful.  As a kids movie, there's almost always a message to take away. Here,  it's a reminder to believe in oneself, which I guess is a universal  theme to instill some confidence in the young ones. You might not look  the best, nor are the best amongst your peers, but so long as you have  that attitude to want to learn, that should put you in good steed. As a  summer blockbuster movie, it's fun, thoroughly entertaining, and  doesn't try to be too smart. It's likely to be a crowd pleaser across  all age demographics, and an ultimate popcorn fare, so long as you  manage to keep the popcorn away from the thieving hands of the panda.  And with this release beating local film Kung Fu Gecko to the screens,  I wonder what's the status currently on the Nickson Fong project.",6 June 2008
Fun animation from DreamWorks,8,"I hadn't got around to watching this film but as I'd heard good things about it I thought I'd check it out when it was on television. Initially I wasn't sure I'd enjoy it as I'm not really into 'talking animal' films; soon I was ignoring that and enjoying the humour and the story. The story itself is hardly new but tat didn't stop it being entertaining. Po is a panda who dreams of becoming a kung fu warrior fighting alongside the greatest warriors in China; unfortunately for him however he seems destined to become a noodle chef! One day the local kung fu master Oogway prophesied that a dangerous former student is going to escape from prison and return to seek his vengeance and steal the scroll that will make him the legendary Dragon Warrior. Oogway decides that he must find a new Dragon Warrior first; to this end he gathers everybody together to appoint the new warrior. Po is desperate to see the ceremony and in his efforts to see finds himself at the centre of the ceremony and being selected himself. Not surprisingly the five greatest warriors and their trainer are not impressed that a fat panda has been selected over them. When their enemy does indeed escape they head off to meet him while master Shifu attempts to train him. As is the way with such films Po finds that he has hidden depths and learns kung fu, the only question is will he learn the secret of the scroll and defeat the dangerous Tai Lung.While the two films are very different I couldn't help thinking about Star Wars due to the relationships between the main characters; Shifu was like Obi Wan as his best student turns bad, Oogway was similar to Yoda. I'm not sure if this was a deliberate reference, it didn't matter if it was though as they never really laboured the point; in fact the film was refreshingly free from obvious pop culture references which I suspect will lead to it having a greater longevity than some other Dream Works animations. The animation looked pretty good in a way that made the characters believable even though they are talking, kung-fu fighting animals! The voice actors did a decent job; they avoided giving their characters 'cartoony' voices that can be a problem with animation at times. Over all I'd recommend this as it is a good family film with nothing too offensive for children or too childish for adults; it might not be as good as Pixar's best but then what is?",18 June 2011
